time	gFx	gFy	gFz	TgF
0.001168959	0,0373	0,0096	1,0174	1,018
0.001532188	0,0348	0,0054	1,0296	1,03
0.003273333	0,0319	0,0049	1,0353	1,036
0.005653021	0,0304	0,004	1,0387	1,039
0.008088854	0,0302	0,0091	1,0223	1,023
0.010539688	0,0343	0,0152	0,9952	0,996
0.014676302	0,0468	0,0191	0,9881	0,989
0.015461146	0,0614	0,0203	0,9852	0,987
0.01787375	0,0656	0,0235	0,9783	0,981
0.020167708	0,0678	0,0277	0,9754	0,978
0.022593906	0,069	0,0274	0,9744	0,977
0.025048021	0,0673	0,0252	0,9769	0,98
0.027305417	0,0663	0,0211	0,9852	0,988
0.031315573	0,0641	0,0181	0,9923	0,995
0.032135469	0,0639	0,0186	0,9913	0,994
0.034467031	0,057	0,0176	1,002	1,004
0.036837136	0,0446	0,0145	1,0169	1,018
0.039233698	0,0348	0,0133	1,0287	1,029
0.041673073	0,036	0,0091	1,038	1,039
0.044076927	0,039	0,0057	1,037	1,038
0.047139011	0,0392	0,0074	1,035	1,036
0.049	0,0392	0,0098	1,0299	1,031
0.051320521	0,0385	0,012	1,0228	1,024
0.053700417	0,0417	0,0135	1,015	1,016
0.056079011	0,0456	0,0147	1,005	1,006
0.058456823	0,0468	0,0191	0,9962	0,997
0.060906458	0,048	0,0196	0,9901	0,991
0.063424115	0,0465	0,0247	0,9859	0,987
0.065830781	0,0439	0,0264	0,9847	0,986
0.068120886	0,0404	0,0264	0,983	0,984
0.07050625	0,0375	0,0272	0,9879	0,989
0.072896511	0,0358	0,0252	0,9908	0,992
0.075315938	0,0338	0,0272	0,9967	0,998
0.077767083	0,0324	0,0238	1,0033	1,004
0.080263594	0,0319	0,024	1,0062	1,007
0.082608177	0,0302	0,0194	1,0057	1,006
0.08517724	0,0302	0,0189	1,0042	1,005
0.088136667	0,0343	0,015	1,0057	1,006
0.089876927	0,0392	0,0157	1,005	1,006
0.092111823	0,0421	0,0169	1,0055	1,006
0.094536354	0,0465	0,0198	1,003	1,004
0.097059792	0,047	0,0198	1,0003	1,002
0.099421667	0,0497	0,0216	1,0001	1,002
0.10177974	0,0485	0,0186	0,9962	0,998
0.104177708	0,0478	0,0225	0,9972	0,999
0.106568542	0,046	0,0206	0,9989	1
0.108957448	0,0446	0,0186	1,0045	1,006
0.111375677	0,0436	0,0172	1,0079	1,009
0.113929531	0,0439	0,0181	1,0162	1,017
0.116231667	0,0399	0,0142	1,0221	1,023
0.118565156	0,0434	0,0133	1,0245	1,026
0.12099625	0,0434	0,0106	1,0235	1,025
0.123366927	0,048	0,0098	1,024	1,025
0.125824531	0,0482	0,0101	1,0187	1,02
0.128197031	0,0502	0,0125	1,0147	1,016
0.130722969	0,0536	0,0093	1,0133	1,015
0.133102917	0,0546	0,0108	1,0081	1,01
0.135444427	0,0539	0,012	1,0081	1,01
0.137857604	0,0531	0,0142	1,0052	1,007
0.140229271	0,0492	0,0142	1,0055	1,007
0.142622396	0,0475	0,0154	1,0008	1,002
0.145098021	0,0456	0,0169	1,003	1,004
0.147590938	0,0417	0,0179	1,0025	1,004
0.1498875	0,0395	0,0181	1,0072	1,008
0.15225	0,0395	0,0176	1,0091	1,01
0.154647188	0,0402	0,0216	1,0086	1,01
0.157055729	0,0407	0,0208	1,0072	1,008
